formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,PCCross,LBCross,CDFCross,MoatCross,SPCross,DBCross,RTCross,RWCross,RPCross,scaleAttempt,scaleSuccess,broken,autoCrossD,autoShotAtp,matchnum,ballpick,drivetrain,aim,shooter,language,views,redAlliance,blueAlliance,_id,_rev
match,5263,11,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,no show,N,none,,,,,,,,,,00860af1-2569-c7ae-a1e5-3f2cce41e6e4,1-3435d3db72d489f5fc9685c8a1772d89
match,5459,,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,00e15b27-59f4-0680-b9d3-bf0d9110b72c,1-b5577da0a4546931fe9100d920a6ccb2
match,3566,27,on,on,0,0,0,0,3,0,0,0,0,0,0,0,on,on,collector arm was getting stuck on grojnd,N,none,,,,,,,,,,013a9c19-2c4b-f52c-4449-10d19b6599a1,1-f8241c3ec3c2a154f5aecbfe64bdc294
match,1234,,on,on,0,0,0,0,0,0,0,0,0,0,0,,on,on,,N,none,abcd,,,,,,,,,04e0e765-d709-d97b-5335-646d3709d764,1-73ef50bb0055645941ba7c74b735b958
match,5752,21,YES,on,0,0,3,0,2,0,0,0,0,0,0,0,on,on,,LB,none,,,,,,,,,,04e4ce0d-6be6-8e19-0f87-e5fa8f2a3b3d,1-45eabfa160e437710c5698defbbf49f7
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,064785ea-e716-dee2-1efa-9c2d45029501,1-736255010c203553155e7ab2d269abcc
match,1761,26,YES,on,0,0,0,0,3,0,0,0,0,0,0,0,on,on,,LB,none,,,,,,,,,,06670fd5-0d49-afb9-1b25-f83ea61b05e5,1-f5bc5b450d3399f2eb71ddfae0042be0
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,09866a73-c0ed-9ced-df9a-cc006138d881,1-b43715ebf73d2a0554a0053572a7aa0a
pit,4474,,,,,,,,,,,,,,,,,,,,,,YES,tank,IR,wheel,,,,,0c3dc203-ad86-d415-5d96-d9b3a01c20c0,1-08624fe2a6572d05c34c8410a6c67568
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,0fae890a-6d48-4002-582a-30a748170c98,1-cd4ad98386a6d279e4061063ca3a010b
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,109c232f-29da-bca3-bd47-1ba3f9ef3bb9,1-19c38661b17939453f1cd83bf120e55c
match,3566,8,YES,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,could not cross,N,none,,,,,,,,,,11681081-64c6-928b-0806-1205ad874455,1-fdf71b914843e47fb407d99f85d25570
pit,5459,,,,,,,,,,,,,,,,,,,,,,YES,mecanum,DR,none,,,,,1169e49d-8d0d-264a-d2ce-dc87c93861d1,1-6646303a6b5fe2744e880a1e6f10f113
match,4474,26,on,on,0,0,0,0,0,3,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,119856aa-89b8-665e-6a72-52200a8825b2,1-90b08fa9a0f44ebb1be2d0e1f340ae6c
match,1965,45,on,on,0,0,1,0,2,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,139dace9-7388-c998-f24f-d836590b05cc,1-d06fee332ead4391ecd81cba835ccd12
