formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,PCCross,LBCross,CDFCross,MoatCross,SPCross,DBCross,RTCross,RWCross,RPCross,scaleAttempt,scaleSuccess,broken,autoCrossD,autoShotAtp,matchnum,ballpick,drivetrain,aim,shooter,language,views,redAlliance,blueAlliance,_id,_rev
match,5263,11,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,no show,N,none,,,,,,,,,,00860af1-2569-c7ae-a1e5-3f2cce41e6e4,1-a9d7730f267c7b5d213208e9ffc858c5
match,5459,,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,00e15b27-59f4-0680-b9d3-bf0d9110b72c,1-52b668973254bfb156d3bc0f5aa6fb31
match,1234,,on,on,0,0,0,0,0,0,0,0,0,0,0,,on,on,,N,none,abcd,,,,,,,,,04e0e765-d709-d97b-5335-646d3709d764,1-eaff0f9ae942b82e6b1d769f4b0a7c9a
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,064785ea-e716-dee2-1efa-9c2d45029501,1-9f334eaa301a4c058b6546824fe37116
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,09866a73-c0ed-9ced-df9a-cc006138d881,1-02fa5b57ffeb071f06fb85b4e4386fd3
pit,4474,,,,,,,,,,,,,,,,,,,,,,YES,tank,IR,wheel,,,,,0c3dc203-ad86-d415-5d96-d9b3a01c20c0,1-f7142e691bd38c913c71db0e7ffc39a5
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,0fae890a-6d48-4002-582a-30a748170c98,1-78045a4f5f36eb4019baaec7e2a485d6
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,109c232f-29da-bca3-bd47-1ba3f9ef3bb9,1-ab632ff268babaafcaaf5b041de760e4
match,3566,8,YES,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,could not cross,N,none,,,,,,,,,,11681081-64c6-928b-0806-1205ad874455,1-6c63aaf3ae3e73771d97c26f5e264f21
pit,5459,,,,,,,,,,,,,,,,,,,,,,YES,mecanum,DR,none,,,,,1169e49d-8d0d-264a-d2ce-dc87c93861d1,1-41abea38a732e9d322a69849abb0c23c
match,1289,7,YES,on,0,0,1,0,0,0,0,0,0,2,0,0,on,on,,N,none,,,,,,,,,,14370e05-95ba-81cc-a53d-2c548329af6b,1-f9dce6dff04e9b9fe25cdd9987fa8373
match,1474,,on,on,0,0,0,0,0,0,0,0,0,0,0,,on,on,didnt move,N,none,50,,,,,,,,,1548c065-dcf3-144a-0ff8-fad1eb6bdd8b,1-31abc0b926a9990cc66c3353983bde77
pit,5556,,,,,,,,,,,,,,,,,,,,,,on,west,DR,none,,,,,15e3507c-a207-3d36-ab17-23825dc1cac6,1-28026dcbabeb050beb186eea9fa9d7bd
match,4176,12,on,on,1,0,0,0,3,0,0,0,0,0,0,0,on,on,,N,none,,,,,,,,,,182b79a0-342c-14e7-4905-271e60e11220,1-0c7e0d9ff93c2f705a9f4520a1533d61
pit,3930,,,,,,,,,,,,,,,,,,,,,,YES,tread,IR,wheel,,,,,18e2e512-9874-9a74-7b0b-cba85bb7346d,1-9cd8331625dd80d89096a8c8c1692d8b
match,501,4,on,on,0,0,0,0,0,0,2,0,0,0,2,0,on,on,,N,none,,,,,,,,,,191ccc24-7646-0d03-fc93-64aea17736cc,1-7be7717669716761fbb3226e43922da4
match,58,13,on,on,0,0,0,0,0,2,0,0,0,0,0,1,on,on,,N,none,,,,,,,,,,1b53b459-3bc2-422c-fe8b-4b20bc2b3d29,1-dca540aaac9c3ae9d78c0a312ec3f260
match,5969,1,on,on,0,0,0,0,0,0,0,0,0,0,0,0,on,on,got stuck,N,none,,,,,,,,,,1c4bb5a6-37e6-fcd8-7dfb-669a40132561,1-7b216646806bd22821d3660a4a1ddf3f
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,1c589794-69ba-337c-4aa9-d4af8cc038f3,1-e11c001a2eafb0b2c20efef26c86974d
match,4905,,on,on,0,0,1,0,0,2,0,1,0,0,2,,on,on,,RP,none,46,,,,,,,,,1eb3bf78-c059-34e8-5693-7dee47d31f77,1-e3ff87f299374b223db58e8a2c205808
