formType,teamnum,matchNum,autoReachD,autoShotSS,HiGAttempt,HiGAttain,LoGAttain,batter,scaleAttempt,scaleSuccess,broken,CDFCross,DBCross,LBCross,MoatCross,PCCross,RPCross,RWCross,RTCross,SPCross,autoCrossD,autoShotAtp,_id,_rev,language,views,redAlliance,blueAlliance,ballpick,drivetrain,aim,shooter,hpInfo
match,663,36,on,on,0,0,0,YES,on,on,,0,0,2,2,0,0,0,0,0,M,none,00d80588-0a85-92b7-c5d3-c95c12953e45,1-667292a40bc16afb536101f414bbad43,,,,,,,,,
match,4041,46,YES,on,2,1,0,YES,on,on,,0,0,0,6,2,0,0,0,0,M,none,02aa01cd-6c09-d70b-3cd4-327b3714d319,1-b68fb15948b8c44ef3635101751491f1,,,,,,,,,
match,3609,30,on,on,0,0,0,on,on,on,,0,0,0,0,0,1,0,0,0,N,none,02b0ed72-c392-7a63-41f3-af7ebccb274b,1-d9157292b699d1ee3b28fc529689a7cd,,,,,,,,,
match,3597,34,on,on,0,0,3,YES,on,on,,0,0,0,0,0,0,0,0,0,LB,none,02eaff54-bf9a-9b99-7810-bce93304705a,1-ba647b1d41b693f1f86399b3c6b1aa2a,,,,,,,,,
match,4925,20,on,on,0,0,0,on,on,on,only defense,0,0,0,0,0,0,0,0,0,N,none,0353636c-bb1e-68f0-4273-cd486acf9163,1-2d5eddb5e98940cafdf20c169415228c,,,,,,,,,
match,125,9,on,on,4,1,0,YES,on,on,,0,0,2,0,0,0,0,0,0,LB,Hi,0442e145-7563-1cf0-5331-24af8f3cd371,1-1a849aeee9717fe81ff34349d81e0532,,,,,,,,,
match,3930,26,on,on,0,0,2,YES,on,on,,2,0,0,0,0,0,0,0,0,RW,none,065b9f68-dea6-8bc9-42c5-643a89991aab,1-462101159fe38d3e24d35eb74ddf549b,,,,,,,,,
match,2648,49,YES,on,6,2,0,on,on,on,,0,0,1,1,0,0,1,0,0,M,none,067830cd-6225-b140-d37c-515a02472239,1-e16e6b8f02cf800dba3d1d58368e4845,,,,,,,,,
match,133,52,on,YES,3,5,0,YES,on,on,,0,0,2,0,0,0,0,0,0,LB,Hi,076daa01-08cc-56b2-da65-1c1d7d46f187,1-27136044f31f1c8bf853f57fc633c774,,,,,,,,,
pit,133,,,,,,,,,,,,,,,,,,,,,,07fdd89f-4aee-cd0a-621b-7067713ff39a,1-cae3aeaada148a80e795da53b1174176,,,,,on,west,DR,cat,"both image tracking and dead reckoning

igh goal goal clumbing"
match,4555,43,YES,on,0,0,0,on,on,on,,0,0,0,2,2,0,1,0,0,M,none,0880dda2-8cbc-c41b-8991-b366a87c6c82,1-0ba0f441dc6092d9cc217d4780fa5057,,,,,,,,,
pit,6224,,,,,,,,,,,,,,,,,,,,,,08dd5207-eea9-992f-e1d6-54e1d40138ff,1-9d3adbabfdba24eb546520f0e3af094e,,,,,YES,west,DR,none,breacher
